Date,Service,Description,Cost,
2025-11-19,EC2,On Demand Linux t2.large Instance Hour,33.10,
2025-11-19,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-19,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-19,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.96,
2025-11-19,EC2,On Demand Linux t3.large Instance Hour,15.21,
2025-11-19,EC2,On Demand Linux t2.xlarge Instance Hour,11.06,
2025-11-19,EC2,On Demand RHEL m6i.large Instance Hour,10.57,
2025-11-19,EC2,On Demand Windows m5.xlarge Instance Hour,10.08,
2025-11-19,EC2,On Demand Linux t2.medium Instance Hour,8.29,
2025-11-19,EC2,On Demand RHEL m5a.xlarge Instance Hour,6.48,
2025-11-19,EC2,On Demand Linux c4.xlarge Instance Hour,5.45,
2025-11-19,EC2,On Demand Linux t3.xlarge Instance Hour,5.07,
2025-11-19,EC2,On Demand Linux c5.large Instance Hour,4.61,
2025-11-19,EC2,On Demand Linux c4.large Instance Hour,3.77,
2025-11-19,EC2,On Demand Linux t2.small Instance Hour,2.76,
2025-11-19,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Jakarta),1.76,
2025-11-19,EC2,On Demand Linux t3.medium Instance Hour,1.27,
2025-11-19,EC2,On Demand Linux t2.micro Instance Hour,0.35,
2025-11-19,EC2,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,0.17,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer to Asia Pacific (Seoul),0.10,
2025-11-19,EC2,GB-Month of snapshot data stored - Asia Pacific (Seoul),0.08,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Jakarta),0.08,
2025-11-19,EC2,GB-Month of snapshot data stored - Asia Pacific (Jakarta),0.03,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Mumbai),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to EU (Ireland),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),0.00,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer To EU (Ireland),0.00,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer to Asia Pacific (Tokyo),0.00,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer to US West (Northern California),0.00,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer to US West (Oregon),0.00,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer to US East (Ohio),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to EU (Germany),0.00,
2025-11-19,EC2,GB - Asia Pacific (Jakarta) data transfer to US East (Northern Virginia),0.00,
