Date,Service,Description,Cost,
2025-11-01,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),614.40,
2025-11-02,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),614.40,
2025-11-03,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),614.40,
2025-11-04,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),614.40,
2025-11-05,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),614.40,
2025-11-06,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),614.40,
2025-11-07,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),91.86,
2025-11-08,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-09,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-10,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-11,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-12,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-13,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-14,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-15,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-16,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-17,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-18,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-19,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-20,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-21,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-22,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-01,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-02,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-03,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-04,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-05,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-06,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-07,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),102.03,
2025-11-08,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),77.25,
2025-11-09,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-10,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-11,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-12,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-13,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-14,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-15,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),151.95,
2025-11-16,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),153.60,
2025-11-17,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),100.04,
2025-11-18,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-19,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-20,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-21,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-22,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-01,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-02,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-03,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-04,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-05,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-06,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
2025-11-07,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),10.47,
2025-11-08,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-09,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-10,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-11,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-12,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-13,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-14,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-15,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-16,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-17,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-18,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-19,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-20,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-21,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-22,RDS,Db.r5.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-01,RDS,GB-month of provisioned GP3 storage running SQL Server,0.44,
2025-11-02,RDS,GB-month of provisioned GP3 storage running SQL Server,0.44,
2025-11-03,RDS,GB-month of provisioned GP3 storage running SQL Server,0.44,
2025-11-04,RDS,GB-month of provisioned GP3 storage running SQL Server,0.44,
2025-11-05,RDS,GB-month of provisioned GP3 storage running SQL Server,0.44,
2025-11-06,RDS,GB-month of provisioned GP3 storage running SQL Server,0.44,
2025-11-07,RDS,GB-month of provisioned GP3 storage running SQL Server,1.68,
2025-11-08,RDS,GB-month of provisioned GP3 storage running SQL Server,2.40,
2025-11-09,RDS,GB-month of provisioned GP3 storage running SQL Server,2.40,
2025-11-10,RDS,GB-month of provisioned GP3 storage running SQL Server,2.40,
2025-11-11,RDS,GB-month of provisioned GP3 storage running SQL Server,2.40,
2025-11-12,RDS,GB-month of provisioned GP3 storage running SQL Server,2.40,
2025-11-13,RDS,GB-month of provisioned GP3 storage running SQL Server,25.89,
2025-11-14,RDS,GB-month of provisioned GP3 storage running SQL Server,29.25,
2025-11-15,RDS,GB-month of provisioned GP3 storage running SQL Server,29.22,
2025-11-16,RDS,GB-month of provisioned GP3 storage running SQL Server,29.25,
2025-11-17,RDS,GB-month of provisioned GP3 storage running SQL Server,36.28,
2025-11-18,RDS,GB-month of provisioned GP3 storage running SQL Server,50.33,
2025-11-19,RDS,GB-month of provisioned GP3 storage running SQL Server,50.33,
2025-11-20,RDS,GB-month of provisioned GP3 storage running SQL Server,50.33,
2025-11-21,RDS,GB-month of provisioned GP3 storage running SQL Server,50.33,
2025-11-22,RDS,GB-month of provisioned GP3 storage running SQL Server,50.33,
2025-11-01,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-02,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-03,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-04,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-05,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-06,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-07,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),27.24,
2025-11-08,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),15.85,
2025-11-09,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-10,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-11,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-12,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-13,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-14,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-15,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),15.16,
2025-11-16,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),31.54,
2025-11-17,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),9.54,
2025-11-18,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-19,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-20,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-21,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-22,RDS,Db.m5.xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),0.00,
2025-11-01,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-02,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-03,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-04,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-05,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-06,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-07,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-08,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-09,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-10,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-11,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-12,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.00,
2025-11-13,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.13,
2025-11-14,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.15,
2025-11-15,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.15,
2025-11-16,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,0.15,
2025-11-17,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,2.40,
2025-11-18,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
2025-11-19,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
2025-11-20,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
2025-11-21,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
2025-11-22,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
2025-11-01,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,1.75,
2025-11-02,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,1.75,
2025-11-03,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,1.75,
2025-11-04,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,1.75,
2025-11-05,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,1.75,
2025-11-06,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,1.75,
2025-11-07,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.26,
2025-11-08,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-09,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-10,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-11,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-12,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-13,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-14,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
