Date,Service,Description,Environment,Cost,
2025-12-01,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-02,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-03,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-04,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-05,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-06,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-07,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-08,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-09,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-10,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-11,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-12,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,18.73,
2025-12-13,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-14,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-15,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-16,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-17,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-18,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-19,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-20,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-21,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-22,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-23,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-24,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-25,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-26,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-27,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-28,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-29,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-30,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-12-31,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,18.81,
2025-12-01,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2025-12-02,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2025-12-03,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
